export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41,export_res_42,export_res_43,export_res_44
103.6858,32.0086,NaN,735928,735952,735976,736000,736036,736060,736084,736108,736132,736156,736180,736204,736252,736276,736300,736324,736348,736372,736396,736420,736492,736540,736564,736588,736618,736642,736666,736690,736714,736738,736744,736756,736768,736780,736792,736804,736816,736828,736840,736852,736864
103.6593,32.07623,0.893294,2.618124,2.33592,4.758702,0.09253813,-0.1664538,1.949949,1.715571,-1.307807,1.79273,-6.05818,-3.206532,-1.339418,-1.567588,-6.165465,-1.213213,-1.268499,-0.2639305,1.486266,-2.34378,-4.767615,-4.999602,-8.587611,-4.539818,-3.23835,8.183805,0.7191682,0.9346859,1.958997,2.251013,0.9258364,1.002071,-0.9461137,2.303072,-0.6844858,1.730729,1.402973,5.139461,-2.064493,4.46079,6.764603,1.905784
103.6605,32.07757,-0.6635972,4.704589,5.142973,3.940573,2.525359,1.116374,2.310292,3.04355,3.153184,4.374765,2.532694,2.24969,0.5838029,0.6175361,-2.686396,-1.7853,-1.923793,-3.184465,-3.282528,-3.807634,-4.30227,-3.746402,-5.077873,-3.974664,-4.500634,-2.768277,-0.4899369,1.138439,1.125095,0.01862322,0.3138282,0.225255,0.2661017,1.292016,1.692333,1.568737,2.252295,3.292621,2.265435,4.056991,-2.272646,-0.2914702
103.6603,32.07773,-0.3947018,3.539607,2.304738,1.052217,1.069389,1.107527,1.242238,3.380034,3.207507,6.040388,1.689609,3.683382,1.304423,1.545994,-0.8588557,-0.07327284,-3.496544,-4.255298,-3.854739,-2.578066,-2.9392,-4.118248,-4.260851,-3.518883,-4.120876,-1.720882,-0.6985942,-1.608645,-0.2969342,-1.004982,-0.04210088,-0.4273313,-0.7187817,1.429239,0.9754638,2.976616,1.801768,2.351871,2.961557,5.63073,-0.3916054,2.255028
103.6626,32.07751,-0.3005612,3.834322,2.354593,2.212515,2.314439,-0.2398139,3.624066,4.991144,2.625513,4.706068,2.476967,2.598953,2.99391,0.7137524,-2.064613,-2.559413,-4.999738,-4.745575,-4.689995,-3.077323,-4.92155,-1.52997,-3.834003,-0.52325,-4.598579,-1.967707,-0.6300884,0.1250977,0.2528584,-0.08068379,1.25332,-0.6189209,1.705031,1.963099,1.169254,2.084698,0.4432715,2.940991,1.106429,4.045278,0.1659516,2.908825
103.661,32.07776,-1.160502,7.81152,4.9707,9.255333,9.059308,1.581338,3.398376,4.719232,0.193173,0.404384,1.443565,-1.511117,4.730322,6.38773,-1.632865,-7.910864,0.1180464,-4.744802,-4.542476,-3.151454,-2.055454,-1.904496,-13.3084,-7.487938,-15.36825,-4.722363,0.07292175,-1.160393,0.2270477,3.781122,2.776198,0.4538491,3.045479,3.777303,-1.183825,2.818886,5.028526,3.165633,3.929842,1.937888,-1.265077,-0.289797
103.6607,32.0778,-0.9417713,3.68154,2.734965,3.91622,5.456525,3.16077,2.466686,3.928742,0.9076235,5.413617,1.401942,4.184992,1.500015,0.658191,-1.726681,-1.868076,-0.5546782,-4.00111,-3.602252,-1.023404,-6.80453,-3.732325,-5.105117,-5.587723,-2.062176,-5.429349,0.9206299,2.452287,0.9209719,-0.489777,-3.040277,1.473958,0.5477562,1.07696,1.577407,1.858796,0.1852862,0.6256312,1.237758,5.219432,-1.364331,2.062079
103.6622,32.0777,-1.546996,5.965975,3.485724,2.487528,2.901277,0.3572406,3.787106,4.183156,2.69334,6.578045,3.575537,5.681553,1.945214,3.978944,-1.229286,-0.9608505,-0.5484264,-3.95136,-4.537959,-3.423566,-3.661788,-0.02819213,-2.723941,-3.841439,-5.01105,-2.153431,0.1975521,-1.572438,-1.540164,-1.932031,-2.068729,-1.020052,-0.3280074,-0.1455446,0.7250986,1.982929,0.938323,1.522541,2.245859,1.489943,-1.835845,0.8063112
103.6619,32.07774,-0.6362272,4.323615,3.239311,1.057297,0.8029993,1.412338,3.620677,5.002561,2.372725,4.672868,1.602319,4.332904,2.007066,1.710589,-2.273266,-1.278548,-2.755397,-3.05621,-4.684005,-3.081201,-3.416217,-0.4259403,-4.62163,-2.670573,-4.680306,-1.657383,0.08405548,-0.2709018,-0.3548565,-1.401599,-0.8827767,-0.1403482,0.9529768,0.4482681,1.026133,1.755835,2.705336,1.60431,2.319716,3.997695,-1.161051,1.918415
103.6608,32.07791,-0.4892265,4.112531,3.998707,0.5086007,1.607176,1.868596,4.021725,3.280897,3.436028,1.124287,8.786291,2.22193,0.2595639,-1.532168,-1.485943,-2.02158,-3.478984,1.708894,-5.761929,-0.5650203,-5.470904,-4.46566,-4.106812,-4.409179,-4.007108,-3.176704,3.412307,0.3836845,1.629046,-0.3710985,-3.173253,-2.304464,-2.790289,1.524885,2.341471,1.101647,3.563772,2.385321,3.034621,1.95164,-1.089772,7.309202
