export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41
103.6858,32.0086,NaN,735928,735976,736000,736036,736060,736108,736132,736156,736180,736204,736252,736276,736300,736348,736372,736396,736420,736468,736492,736540,736564,736588,736618,736642,736666,736690,736714,736738,736744,736768,736780,736792,736804,736816,736828,736840,736852,736864
103.658,32.07503,-0.9505683,-21.47769,-15.58855,-11.31318,0.2641747,-4.988957,-1.101184,3.43956,-1.226754,3.132588,4.535595,7.517394,5.134501,7.28526,6.421467,1.696699,4.62156,0.5128332,5.215349,0.8964401,-0.5338174,-2.791425,-1.59156,-5.116761,-2.897373,-2.04038,-2.101327,4.698766,1.498855,10.22428,5.345546,3.346304,4.506289,5.139109,1.563756,4.077203,1.720239,10.85652,6.472936
103.6578,32.07518,-0.6396159,-0.3997011,2.371645,5.92042,10.14054,11.92411,15.63297,20.34014,15.92814,17.2273,15.11234,5.821696,7.335919,4.467796,3.807979,5.404564,4.124197,6.161442,0.8964025,0.04079677,2.232949,-2.394401,1.058223,-1.715311,-3.605814,-3.797086,-1.479694,4.747652,3.011058,7.171094,4.844473,2.900656,6.025126,4.525897,4.236227,2.496181,4.944635,14.69642,2.631897
103.6578,32.07519,-1.154678,-13.56392,-10.76106,-6.89525,-6.516005,-8.411505,0.7169062,-1.15831,-4.577091,4.193002,6.787043,3.660417,1.897557,5.501612,4.515458,4.568936,2.120578,3.658147,4.654141,0.271966,-4.96823,-4.54153,-5.909725,-3.390182,-2.277212,-2.387353,-2.427482,3.853937,0.5526453,6.738255,1.071913,0.7322167,14.84549,10.08609,7.518482,11.73552,3.78723,9.3937,4.255657
103.6577,32.0752,0.75314,-15.46638,-12.30698,-7.986739,-10.13259,-9.972227,-0.7507432,0.9172029,-2.384537,2.755412,6.722466,4.372551,3.838759,5.912039,5.205873,3.146664,2.650533,3.839827,2.929348,-0.3011204,-2.400421,-2.261796,-3.021106,-0.03211946,-3.0105,-0.05470684,0.3347193,6.191642,2.570394,6.908125,1.934694,3.478852,10.97847,8.129647,8.645318,8.651649,9.553869,12.54294,4.572482
103.6577,32.0752,0.5265842,-2.607161,-3.74208,3.512047,-6.739041,4.031915,2.626449,0.8391742,1.700336,3.431493,6.559961,5.519643,4.905102,3.347376,2.774834,1.790443,-0.7587703,0.3999131,4.370471,2.322912,10.58172,-1.131686,-1.924558,3.014832,-8.43281,0.556874,2.178335,7.152199,3.189276,7.867955,7.166093,6.541242,10.2356,3.086528,8.551781,10.9576,10.45404,13.35414,5.026372
103.6582,32.07518,-1.156154,-16.52017,-11.57444,-9.973191,-10.57302,-9.20088,-3.735102,1.570654,1.547945,3.33763,4.758791,6.989311,3.962134,8.249587,7.497747,5.152317,7.063556,5.569377,0.6614122,0.8102557,-7.967248,-3.021963,-8.751282,-2.277261,-2.619108,0.1825259,1.501072,3.959091,2.778214,1.507185,6.937571,4.201387,0.09135345,6.598912,7.050284,4.531464,10.47865,7.344775,4.784818
103.6579,32.07522,-0.8859853,-19.30037,-16.20023,-11.41741,-3.781037,-1.912367,0.2059878,5.302699,3.447099,-2.511714,-0.09107984,4.016442,1.797749,5.772974,4.789676,2.045335,6.168891,4.537617,1.057832,-0.5742926,0.09017483,-0.4521622,-6.253713,-2.870508,-3.022475,-3.266918,-2.455721,-0.4623783,-1.732569,2.357737,0.4899643,3.793085,-0.4090458,2.80153,2.320518,2.583597,4.96013,5.453011,2.785292
103.6579,32.07523,-0.4836006,-17.15289,-15.21043,-10.67852,-3.817044,-6.538154,-1.077582,2.059941,4.166364,1.744468,3.873426,6.833589,3.742711,5.626542,4.78208,2.402794,1.70039,3.581987,3.590784,1.637389,-0.177481,-2.403458,-3.725779,-3.838266,-3.037082,-3.68763,-3.269854,1.631534,-0.9977094,3.368299,3.187468,1.804562,3.560798,5.099031,3.669838,4.5297,5.602402,10.5531,3.442271
103.6579,32.07525,-1.254202,-15.3673,-12.7854,-11.17338,-4.032176,-5.203403,1.310976,1.968834,3.928455,2.050951,4.583266,5.433282,5.703552,6.294107,5.314953,2.096216,3.875581,0.9640378,4.653159,-2.363429,-1.396191,-4.687645,-0.1392853,-4.76253,-4.011052,-1.729404,-1.486808,3.358955,0.4303004,3.923742,2.724503,0.9088937,7.553174,5.333189,4.856083,4.579133,6.804893,11.77746,4.029829
